t_recv,source,key,reason,detail,status
2026-09-08 09:59:54.192375+00:00,dse_ownership,TB20Y0545,parse_error,no shareholding block on the company page for 'TB20Y0545',
2026-09-08 09:59:54.756510+00:00,dse_ownership,TB20Y0628,parse_error,no shareholding block on the company page for 'TB20Y0628',
2026-09-08 09:59:55.427146+00:00,dse_ownership,TB20Y0629,parse_error,no shareholding block on the company page for 'TB20Y0629',
2026-09-08 09:59:56.023227+00:00,dse_ownership,TB20Y0630,parse_error,no shareholding block on the company page for 'TB20Y0630',
2026-09-08 09:59:56.580831+00:00,dse_ownership,TB20Y0631,parse_error,no shareholding block on the company page for 'TB20Y0631',
2026-09-08 09:59:57.223326+00:00,dse_ownership,TB20Y0632,parse_error,no shareholding block on the company page for 'TB20Y0632',
2026-09-08 09:59:57.962197+00:00,dse_ownership,TB20Y0633,parse_error,no shareholding block on the company page for 'TB20Y0633',
2026-09-08 09:59:58.519429+00:00,dse_ownership,TB20Y0634,parse_error,no shareholding block on the company page for 'TB20Y0634',
2026-09-08 09:59:59.108073+00:00,dse_ownership,TB20Y0639,parse_error,no shareholding block on the company page for 'TB20Y0639',
2026-09-08 09:59:59.795652+00:00,dse_ownership,TB20Y0640,parse_error,no shareholding block on the company page for 'TB20Y0640',
2026-09-08 09:44:39.488695+00:00,dsebd_latest,,connect_error,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",
2026-09-08 09:44:53.378365+00:00,dsebd_hts,,connect_error,"ConnectionError: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))",
2026-09-08 09:45:11.998373+00:00,bullbd_detail,ACHIASF,not_found,http 404,404.0
2026-09-08 09:45:20.740446+00:00,bullbd_detail,AMPL,not_found,http 404,404.0
2026-09-08 09:45:22.348106+00:00,bullbd_detail,AOPLC,not_found,http 404,404.0
2026-09-08 09:45:24.342883+00:00,bullbd_detail,APEXWEAV,not_found,http 404,404.0
2026-09-08 09:45:35.650124+00:00,bullbd_detail,BDPAINTS,not_found,http 404,404.0
2026-09-08 09:45:36.054585+00:00,bullbd_detail,BDSERVICE,not_found,http 404,404.0
2026-09-08 09:45:38.453536+00:00,bullbd_detail,BENGALBISC,not_found,http 404,404.0
2026-09-08 09:45:45.721373+00:00,bullbd_detail,BXSYNTH,not_found,http 404,404.0
2026-09-08 09:45:47.315975+00:00,bullbd_detail,CBLPBOND,not_found,http 404,404.0
