regime,door,footprint,window,n_fresh_doors,n_doors_with_footprint,recall,base_share_predoor_rows,recall_lift,lead_median,lead_p25,lead_p75
DISCOVERY,abn_up,F16d_REF_moved_down,5,6150,916,0.14894308943089432,0.11031672010640117,1.350140661245528,2.0,1.0,4.0
DISCOVERY,abn_up,F16d_REF_moved_down,10,6150,1438,0.23382113821138212,0.2015938101886855,1.1598626862230188,4.0,2.0,7.0
DISCOVERY,abn_up,F17_abnormal_volume_persistent,5,6150,650,0.10569105691056911,0.060137637209507676,1.757486023974675,1.0,1.0,2.0
DISCOVERY,abn_up,F17_abnormal_volume_persistent,10,6150,841,0.1367479674796748,0.09743323712341544,1.4035043021968028,2.0,1.0,5.0
DISCOVERY,abn_up,F18_quiet_volume_repeat,5,6150,237,0.03853658536585366,0.028380086202614774,1.3578741477643266,2.0,1.0,3.0
DISCOVERY,abn_up,F18_quiet_volume_repeat,10,6150,330,0.05365853658536585,0.046743671392541986,1.1479315806145074,3.0,1.0,6.0
FLOOR,limit_up,F01_quiet_volume,5,1109,169,0.15476190476190477,0.06959013330011213,2.223905853068044,2.0,1.0,3.0
FLOOR,limit_up,F01_quiet_volume,10,1109,221,0.20331186752529898,0.10856321619799815,1.8727509615641613,3.0,2.0,5.0
FLOOR,limit_up,F02_quiet_volume_persistent,5,1109,263,0.24084249084249085,0.1745483991528591,1.3798034929645806,2.0,1.0,3.0
FLOOR,limit_up,F02_quiet_volume_persistent,10,1109,374,0.34406623735050595,0.2553194195378178,1.3475913347027764,3.0,1.0,6.0
FLOOR,limit_up,F03_dip_recovered,5,1109,108,0.0989010989010989,0.05155101532328392,1.9185092336373146,3.0,1.0,4.0
FLOOR,limit_up,F03_dip_recovered,10,1109,167,0.15363385464581417,0.08976560214684523,1.7115002960096954,4.0,2.0,7.0
FLOOR,limit_up,F04_dip_recovered_persistent,5,1109,41,0.037545787545787544,0.016731032764420083,2.24408068972477,1.0,1.0,3.0
FLOOR,limit_up,F04_dip_recovered_persistent,10,1109,61,0.05611775528978841,0.02645401706792832,2.1213320890241314,3.0,1.0,6.0
FLOOR,limit_up,F05_departure_calm,5,1109,194,0.17765567765567766,0.21968356795814128,0.8086889670761735,2.0,1.0,3.0
FLOOR,limit_up,F05_departure_calm,10,1109,285,0.2621895124195032,0.30825289022854746,0.8505662744154919,3.0,2.0,6.0
FLOOR,limit_up,F06_departure_any,5,1109,337,0.3086080586080586,0.2884016444499813,1.0700634498690655,1.0,1.0,3.0
FLOOR,limit_up,F06_departure_any,10,1109,444,0.40846366145354185,0.3964032711409567,1.0304245479051473,2.0,1.0,5.25
FLOOR,limit_up,F07_idio_activity,5,1109,149,0.13644688644688643,0.04838669490469665,2.819925740239849,1.0,1.0,4.0
FLOOR,limit_up,F07_idio_activity,10,1109,204,0.18767249310027598,0.08093911760591145,2.3186871645184475,3.0,1.0,6.0
FLOOR,limit_up,F08u_idio_move_up,5,1109,417,0.38186813186813184,0.1573439641210913,2.426963970313139,2.0,1.0,3.0
FLOOR,limit_up,F08u_idio_move_up,10,1109,547,0.5032198712051518,0.2738245132079311,1.8377458807825113,2.0,1.0,5.0
FLOOR,limit_up,F08d_idio_move_down,5,1109,135,0.12362637362637363,0.10509530335118973,1.176326340800025,2.0,1.0,4.0
FLOOR,limit_up,F08d_idio_move_down,10,1109,214,0.1968721251149954,0.1828633929820545,1.0766076353746519,4.0,2.0,7.0
FLOOR,limit_up,F09_idio_quiet_volume,5,1109,56,0.05128205128205128,0.021963373614052574,2.334889538519714,2.0,1.0,4.0
FLOOR,limit_up,F09_idio_quiet_volume,10,1109,76,0.06991720331186753,0.03872715479415468,1.805379292217474,3.0,2.0,6.0
FLOOR,limit_up,F10_coil_then_volume,5,1109,5,0.004578754578754579,0.008122586271334246,0.5637064877862424,2.0,1.0,3.0
FLOOR,limit_up,F10_coil_then_volume,10,1109,11,0.010119595216191352,0.015948719905376017,0.6345083038783711,6.0,2.5,7.5
FLOOR,limit_up,F11_closing_strength,5,1109,13,0.011904761904761904,0.008969727170798554,1.3272156084656084,2.0,1.0,3.0
