split,signal,h,n_frames,n_signal,n_signal_valid,episodes,share_of_frames,p_up,p_down,mean_fwd_ticks,base_p_up,base_mean_ticks,ctrl_p_up,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base
val,score_ge_6,2,387,2,2,2,0.00516795865633075,0.5,0.5,2.9999999999999893,0.14207650273224043,-0.1584699453551908,0.5,1.5000000000000036,2,0.0,0.35792349726775957,3.15846994535518
val,score_ge_7,2,387,0,0,0,0.0,,,,0.14207650273224043,-0.1584699453551908,,,0,,,
val,composite,4,387,0,0,0,0.0,,,,0.1912568306010929,-0.3647540983606573,,,0,,,
val,mirror_composite,4,387,0,0,0,0.0,,,,0.1912568306010929,-0.3647540983606573,,,0,,,
val,b_imb_l1,4,387,155,152,34,0.4005167958656331,0.20394736842105263,0.34868421052631576,-0.18749999999999822,0.1912568306010929,-0.3647540983606573,0.10687022900763359,-0.7938931297709871,131,0.09707713941341904,0.01269053781995974,0.17725409836065908
val,b_imb_top5,4,387,153,151,22,0.3953488372093023,0.2185430463576159,0.44370860927152317,-0.15231788079470931,0.1912568306010929,-0.3647540983606573,0.0,-2.2014925373134404,67,0.2185430463576159,0.027286215756523013,0.212436217565948
val,b_imb_weighted,4,387,164,159,22,0.42377260981912146,0.1761006289308176,0.44025157232704404,-0.3710691823899419,0.1912568306010929,-0.3647540983606573,0.15384615384615385,-0.4538461538461554,65,0.022254475084663744,-0.015156201670275288,-0.006315084029284601
val,b_largest_wall_bid,4,387,247,239,22,0.6382428940568475,0.17573221757322174,0.4602510460251046,-0.46443514644352085,0.1912568306010929,-0.3647540983606573,0.4915254237288136,0.11864406779662871,59,-0.3157932061555918,-0.015524613027871143,-0.09968104808286354
val,b_one_frame_pressure,4,387,44,42,44,0.11369509043927649,0.2857142857142857,0.35714285714285715,-0.11904761904761652,0.1912568306010929,-0.3647540983606573,0.11904761904761904,-1.5476190476190368,42,0.16666666666666666,0.09445745511319281,0.2457064793130408
val,score_ge_3,4,387,131,126,32,0.3385012919896641,0.2619047619047619,0.42857142857142855,-0.15873015873015198,0.1912568306010929,-0.3647540983606573,0.08333333333333333,-0.48749999999998445,120,0.1785714285714286,0.07064793130366903,0.20602393963050533
val,score_ge_4,4,387,39,38,14,0.10077519379844961,0.34210526315789475,0.47368421052631576,-0.22368421052630588,0.1912568306010929,-0.3647540983606573,0.13157894736842105,-0.27631578947369934,38,0.2105263157894737,0.15084843255680186,0.14106988783435143
val,score_ge_5,4,387,13,13,7,0.03359173126614987,0.3076923076923077,0.5384615384615384,-0.46153846153844624,0.1912568306010929,-0.3647540983606573,0.23076923076923078,0.42307692307690176,13,0.07692307692307693,0.11643547709121482,-0.09678436317778893
val,score_ge_6,4,387,2,2,2,0.00516795865633075,0.5,0.5,1.2499999999999822,0.1912568306010929,-0.3647540983606573,0.0,-0.5000000000000071,2,0.5,0.3087431693989071,1.6147540983606397
val,score_ge_7,4,387,0,0,0,0.0,,,,0.1912568306010929,-0.3647540983606573,,,0,,,
val,composite,8,387,0,0,0,0.0,,,,0.19559228650137742,-0.8512396694214863,,,0,,,
val,mirror_composite,8,387,0,0,0,0.0,,,,0.19559228650137742,-0.8512396694214863,,,0,,,
val,b_imb_l1,8,387,155,149,34,0.4005167958656331,0.2214765100671141,0.4899328859060403,-0.6812080536912719,0.19559228650137742,-0.8512396694214863,0.18604651162790697,-0.6937984496124036,129,0.03542999843920713,0.02588422356573669,0.1700316157302144
