symbol,year,rows,days
DACCADYE,2016,15995,284
DACCADYE,2017,8379,247
DACCADYE,2018,5627,241
DACCADYE,2019,3475,235
DACCADYE,2020,6457,198
DACCADYE,2021,21587,239
DACCADYE,2022,27158,235
DACCADYE,2023,15835,236
DACCADYE,2024,2099,22
DAFODILCOM,2015,1513,42
DAFODILCOM,2016,17309,284
DAFODILCOM,2017,16647,247
DAFODILCOM,2018,14141,240
DAFODILCOM,2019,11868,236
DAFODILCOM,2020,8901,168
DAFODILCOM,2021,5814,229
DAFODILCOM,2022,1980,217
DAFODILCOM,2023,8085,161
DAFODILCOM,2024,535,22
DBH,2015,1481,41
DBH,2016,16099,284
DBH,2017,12648,247
DBH,2018,3912,240
DBH,2019,8490,236
DBH,2020,9355,188
DBH,2021,19561,238
DBH,2022,12941,241
DBH,2023,949,214
DBH,2024,887,22
DBH1STMF,2015,710,42
DBH1STMF,2016,4579,283
DBH1STMF,2017,4018,247
DBH1STMF,2018,1996,240
DBH1STMF,2019,2856,235
DBH1STMF,2020,6671,182
DBH1STMF,2021,10045,238
DBH1STMF,2022,3121,228
DBH1STMF,2023,593,139
DBH1STMF,2024,1265,22
DBLPBOND,2023,10,6
DBLPBOND,2024,1,1
DELTALIFE,2015,3503,42
DELTALIFE,2016,16399,285
DELTALIFE,2017,14337,247
DELTALIFE,2018,11672,239
DELTALIFE,2019,6974,236
DELTALIFE,2020,10357,193
DELTALIFE,2021,31961,240
DELTALIFE,2022,40972,244
DELTALIFE,2023,27490,242
DELTALIFE,2024,1417,22
DELTASPINN,2015,1994,41
DELTASPINN,2016,14779,283
DELTASPINN,2017,19443,247
DELTASPINN,2018,11320,241
DELTASPINN,2019,6267,237
DELTASPINN,2020,7506,196
DELTASPINN,2021,31618,239
DELTASPINN,2022,18241,229
DELTASPINN,2023,3415,170
DELTASPINN,2024,1228,22
DESCO,2015,2140,41
DESCO,2016,11159,284
DESCO,2017,15145,247
DESCO,2018,6195,240
DESCO,2019,8198,236
DESCO,2020,5550,195
DESCO,2021,11606,239
